date,hour,day,day_name,cluster,rainfall_mm,booking_id
2024-03-23,12,23,Saturday,0,0.0,"""CNR5884300"""
2024-11-29,18,29,Friday,0,0.0,"""CNR1326809"""
2024-08-23,8,23,Friday,0,0.0,"""CNR8494506"""
2024-10-21,17,21,Monday,0,0.0,"""CNR8906825"""
2024-09-16,22,16,Monday,1,23.2,"""CNR1950162"""
2024-06-02,9,2,Sunday,2,0.0,"""CNR4096693"""
2024-06-17,15,17,Monday,3,23.7,"""CNR2002539"""
2024-03-19,17,19,Tuesday,4,0.0,"""CNR6568000"""
2024-09-14,12,14,Saturday,5,0.0,"""CNR4510807"""
2024-12-16,19,16,Monday,6,0.0,"""CNR7721892"""
2024-06-14,16,14,Friday,0,0.0,"""CNR9070334"""
2024-09-18,8,18,Wednesday,0,104.0,"""CNR9551927"""
2024-06-25,22,25,Tuesday,0,0.0,"""CNR4386945"""
2024-11-09,19,9,Saturday,7,0.0,"""CNR2987763"""
2024-10-18,18,18,Friday,0,0.0,"""CNR8962232"""
2024-07-06,15,6,Saturday,0,341.6,"""CNR2390352"""
2024-01-07,10,7,Sunday,0,0.0,"""CNR3221338"""
2024-12-15,15,15,Sunday,0,0.0,"""CNR6739317"""
2024-11-24,9,24,Sunday,0,0.0,"""CNR6126048"""
2024-05-24,19,24,Friday,8,16.9,"""CNR9465840"""
2024-12-14,21,14,Saturday,0,0.0,"""CNR9843229"""
2024-07-29,6,29,Monday,9,0.0,"""CNR7911434"""
2024-02-23,11,23,Friday,0,0.0,"""CNR6178330"""
2024-09-03,20,3,Tuesday,10,123.3,"""CNR5309981"""
2024-08-28,16,28,Wednesday,0,70.0,"""CNR2978950"""
2024-08-08,6,8,Thursday,0,0.0,"""CNR2806943"""
2024-01-26,9,26,Friday,11,0.0,"""CNR3614535"""
2024-12-04,19,4,Wednesday,12,0.0,"""CNR4499383"""
2024-05-04,18,4,Saturday,0,0.0,"""CNR9834201"""
2024-03-11,12,11,Monday,13,0.0,"""CNR8779845"""
2024-05-18,17,18,Saturday,0,0.0,"""CNR2178654"""
2024-11-15,5,15,Friday,0,0.0,"""CNR3871541"""
2024-04-02,18,2,Tuesday,14,0.0,"""CNR2877692"""
2024-05-29,14,29,Wednesday,0,0.0,"""CNR9603633"""
2024-07-13,19,13,Saturday,0,0.0,"""CNR8087051"""
2024-07-06,19,6,Saturday,0,341.6,"""CNR7823292"""
2024-05-16,13,16,Thursday,0,0.0,"""CNR9918895"""
2024-02-10,3,10,Saturday,15,0.0,"""CNR7401001"""
2024-02-26,15,26,Monday,0,18.6,"""CNR2631310"""
2024-10-09,13,9,Wednesday,9,0.0,"""CNR4218487"""
2024-12-09,9,9,Monday,16,0.0,"""CNR5333099"""
2024-01-24,10,24,Wednesday,0,0.0,"""CNR5969954"""
2024-12-02,19,2,Monday,0,0.0,"""CNR4130953"""
2024-02-10,19,10,Saturday,0,0.0,"""CNR6693125"""
2024-01-04,21,4,Thursday,0,0.0,"""CNR9572979"""
2024-09-18,21,18,Wednesday,0,104.0,"""CNR6444364"""
2024-02-08,7,8,Thursday,0,0.0,"""CNR4862806"""
2024-09-30,13,30,Monday,17,0.0,"""CNR4674790"""
2024-06-16,0,16,Sunday,17,0.0,"""CNR6866217"""
2024-09-18,9,18,Wednesday,18,104.0,"""CNR4932611"""
2024-04-05,21,5,Friday,0,0.0,"""CNR1572483"""
2024-03-06,18,6,Wednesday,0,0.0,"""CNR6945858"""
2024-03-10,22,10,Sunday,0,0.0,"""CNR6584679"""
2024-05-25,11,25,Saturday,0,0.0,"""CNR6125653"""
2024-04-03,17,3,Wednesday,11,0.0,"""CNR6092529"""
2024-10-11,5,11,Friday,0,0.0,"""CNR6339107"""
2024-11-09,10,9,Saturday,0,0.0,"""CNR1349015"""
2024-11-04,15,4,Monday,19,0.0,"""CNR9773309"""
2024-01-06,10,6,Saturday,4,0.0,"""CNR2107544"""
2024-09-05,10,5,Thursday,0,68.0,"""CNR4171959"""
2024-07-30,12,30,Tuesday,0,66.5,"""CNR5316307"""
2024-02-25,16,25,Sunday,11,0.0,"""CNR3635865"""
2024-09-02,11,2,Monday,0,0.0,"""CNR2497989"""
2024-02-03,4,3,Saturday,0,0.0,"""CNR8946337"""
2024-08-27,18,27,Tuesday,18,0.0,"""CNR3740694"""
