Pickup Location,lat,lon
Palam Vihar,28.61264,77.212
Shastri Nagar,28.61056,77.20551999999999
Khandsa,28.64568,77.1844
Central Secretariat,28.61272,77.25488
Ghitorni Village,28.568640000000002,77.19736
AIIMS,28.50944,77.17584000000001
Vaishali,28.660800000000002,77.42192
Mayur Vihar,28.65296,77.32544
Noida Sector 62,28.51048,77.36128
Rohini,28.72776,77.15656
Udyog Bhawan,28.654159999999997,77.2224
Vidhan Sabha,28.5976,77.20424
Patel Chowk,28.62184,77.21264
Malviya Nagar,28.54896,77.21128
Madipur,28.6432,77.25528
Jama Masjid,28.617839999999998,77.23112
IGI Airport,28.66696,77.20728
Vinobapuri,28.648719999999997,77.20984
Kashmere Gate,28.59144,77.22632
Pitampura,28.69776,77.18896
Punjabi Bagh,28.65504,77.25864
Greater Noida,28.54072,77.34631999999999
Tis Hazari,28.60064,77.25624
Noida Sector 18,28.584960000000002,77.37151999999999
Kanhaiya Nagar,28.616,77.20272
Okhla,28.599999999999998,77.21648
Cyber Hub,28.45568,77.0288
Sadar Bazar Gurgaon,28.43384,77.0412
Shastri Park,28.610239999999997,77.256
Faridabad Sector 15,28.43216,77.30904
Qutub Minar,28.5904,77.25848
Mundka,28.5992,77.21704
DLF City Court,28.48896,77.04368
New Colony,28.6024,77.25319999999999
Nirman Vihar,28.63456,77.24744
New Delhi Railway Station,28.61272,77.24696
Civil Lines Gurgaon,28.48696,76.99616
Seelampur,28.6024,77.21576
Noida Extension,28.52832,77.34696
Adarsh Nagar,28.69304,77.2132
Panipat,28.59584,77.25736
Karol Bagh,28.60992,77.21344
Sultanpur,28.62728,77.21168
Moti Nagar,28.59376,77.1844
Dilshad Garden,28.59752,77.32256
Aya Nagar,28.524800000000003,77.19976
Rajiv Chowk,28.64056,77.22104
MG Road,28.595599999999997,77.1816
Jasola,28.64792,77.19608
Ardee City,28.45552,77.04392
Meerut,28.65136,77.22848
Anand Vihar ISBT,28.5916,77.29848
Lajpat Nagar,28.62424,77.21567999999999
Tughlakabad,28.622159999999997,77.1968
Karkarduma,28.601119999999998,77.18408
Dwarka Mor,28.58392,77.05816
Anand Vihar,28.616960000000002,77.30888
Uttam Nagar,28.61944,77.05463999999999
Model Town,28.674799999999998,77.15776
Mandi House,28.64512,77.20824
Ghitorni,28.50672,77.16896
Rajiv Nagar,28.6088,77.202
Sohna Road,28.64688,77.18816
Bahadurgarh,28.67896,76.89904000000001
Moolchand,28.666719999999998,77.25176
INA Market,28.629279999999998,77.23824
Sushant Lok,28.66768,77.25216
IIT Delhi,28.598879999999998,77.2084
Satguru Ram Singh Marg,28.60784,77.21984
Munirka,28.66384,77.2176
IGNOU Road,28.64736,77.22112
Akshardham,28.64552,77.26888
Chhatarpur,28.509520000000002,77.17792
IMT Manesar,28.606959999999997,77.21344
Azadpur,28.69832,77.18072
Jhilmil,28.654719999999998,77.18576
Sikanderpur,28.636,77.22904
Rohini West,28.73544,77.16936
Kashmere Gate ISBT,28.612479999999998,77.2248
Kherki Daula Toll,28.64864,77.20448
IFFCO Chowk,28.60944,77.25496
Hauz Rani,28.63768,77.25344
Sarai Kale Khan,28.658079999999998,77.25512
Vishwavidyalaya,28.6452,77.2052
Maidan Garhi,28.636239999999997,77.18504
Yamuna Bank,28.596239999999998,77.24416
Khan Market,28.6268,77.18192
Pragati Maidan,28.591279999999998,77.23656
Mansarovar Park,28.66304,77.23896
Rithala,28.59928,77.21848
Saidulajab,28.64,77.22944
Nawada,28.61056,77.20584
Shahdara,28.59224,77.20344
Tilak Nagar,28.64856,77.02624
DLF Phase 3,28.441119999999998,77.05448
Laxmi Nagar,28.61712,77.19344
Huda City Centre,28.62664,77.2056
Mehrauli,28.60776,77.18111999999999
Botanical Garden,28.52736,77.3716
Ramesh Nagar,28.601039999999998,77.22128
Dwarka Sector 21,28.55176,77.06056000000001
Noida Film City,28.560560000000002,77.36896
India Gate,28.6104,77.18496
Barakhamba Road,28.60504,77.23016
Gurgaon Sector 56,28.450879999999998,77.03648
Ashram,28.53536,77.22160000000001
Gurgaon Sector 29,28.433519999999998,77.01528
Jor Bagh,28.64512,77.24704
Saket,28.499360000000003,77.18992
Basai Dhankot,28.4192,76.99672
Udyog Vihar Phase 4,28.61232,77.20368
Raj Nagar Extension,28.60888,77.19016
Lok Kalyan Marg,28.666719999999998,77.2336
Greater Kailash,28.6464,77.2584
Sarojini Nagar,28.656879999999997,77.22528
GTB Nagar,28.67064,77.1588
Vatika Chowk,28.628159999999998,77.21896
Golf Course Road,28.65784,77.19808
Ghaziabad,28.67464,77.4388
