cluster,ride_count,center_latitude,center_longitude,average_fare,average_distance,peak_period,period_rides,peak_period_lift
0,3400,28.611352564705882,77.21247477647059,502.7323943661972,24.41956466069142,Evening,1239,1.0467391414542493
62,2574,28.666465268065267,77.25175595959597,498.5065008479367,24.682764273600903,Evening,911,1.0166135862694718
25,2529,28.599489189402927,77.21735338869118,525.6376728110599,24.897764976958523,Night,320,1.0683835590460538
1,1748,28.61056,77.20568109839816,498.6008438818565,24.69543459915612,Night,214,1.0337092256455207
120,1735,28.59960507204611,77.22511847838616,496.89821882951657,25.174113655640372,Morning,532,1.0778551816469626
28,1697,28.609848721272837,77.25549133765469,503.2158081705151,24.759396092362344,Night,207,1.0299462255290333
63,1696,28.62907787735849,77.23860382075472,504.8412424503883,24.397981018119065,Morning,511,1.0591154731837766
22,1678,28.599962431466032,77.25643928486294,516.1071729957806,24.379400843881857,Afternoon,433,1.0365484923717372
140,1667,28.610926118776245,77.24332775044991,511.4673144876325,26.00739399293286,Night,202,1.0231559092065627
76,1648,28.648079999999997,77.20468,523.9308462238398,24.844513193812556,Morning,481,1.0259734675155896
2,949,28.64568,77.1844,511.3323262839879,24.585015105740183,Night,121,1.076577267255413
97,946,28.60504,77.23016000000001,518.4711246200608,23.297355623100305,Afternoon,248,1.0530626969750945
102,931,28.499360000000003,77.18992,474.0194489465154,24.51322528363047,Night,122,1.1064612195923447
114,921,28.65848,77.20608,521.0079617834394,24.450207006369425,Evening,340,1.0603893612507653
83,920,28.59128,77.23656000000001,503.843853820598,25.091096345514952,Afternoon,231,1.0085973830609198
14,919,28.6432,77.25528,497.25931677018633,24.09576086956522,Afternoon,245,1.0708885064319458
5,918,28.509440000000005,77.17584000000001,526.2245557350566,24.62014539579968,Evening,333,1.041951795367426
91,915,28.60776,77.18111999999999,484.9483870967742,24.863129032258062,Morning,283,1.087210410174138
94,914,28.55176,77.06056000000001,510.5735056542811,24.991760904684977,Morning,273,1.0499405572115301
115,907,28.6048,77.24455999999999,536.8823529411765,24.39740196078431,Night,111,1.033336426102016
87,900,28.648560000000003,77.02623999999999,507.58937198067633,24.208776167471818,Night,112,1.0507552303217937
122,900,28.64632,77.23592,508.6557911908646,25.79066884176183,Night,113,1.060136973449667
158,897,28.61728,77.25944,531.023102310231,24.453745874587458,Morning,264,1.0345696754460876
79,895,28.6452,77.2052,511.85761047463177,24.89949263502455,Night,115,1.084927836575276
24,895,28.616,77.20272,492.2251552795031,23.845698757763973,Night,114,1.0754936814746214
107,895,28.6464,77.2584,489.02155887230515,24.94056384742952,Afternoon,240,1.0771641499424465
117,889,28.625760000000003,77.22808,525.9568106312292,23.76519933554817,Night,121,1.1492371503097716
148,887,28.62456,77.23136,518.7181102362205,24.495889763779527,Evening,329,1.06541388674061
46,887,28.64792,77.19608,508.699173553719,24.040545454545455,Morning,261,1.0343443540808808
145,887,28.6012,77.24272,533.3737704918033,24.787590163934425,Night,114,1.0851937372263654
143,885,28.62824,77.1876,502.0206896551724,24.407844827586207,Evening,319,1.0353650180994138
13,885,28.54896,77.21128,502.2418831168831,25.572564935064936,Night,111,1.0590238852819531
129,884,28.66728,77.23064,505.7848932676519,24.341576354679805,Night,111,1.0602218761024078
128,884,28.59184,77.05055999999999,515.1951219512196,24.68860162601626,Afternoon,242,1.0996558410446573
59,884,28.6088,77.202,490.93760539629005,24.560607082630693,Afternoon,243,1.1041998734456684
101,884,28.64512,77.24704,512.3754208754209,25.401784511784513,Evening,328,1.0657802148041031
95,883,28.560560000000002,77.36895999999999,513.3793103448276,23.933711001642035,Morning,264,1.0509728186581433
32,881,28.6024,77.25319999999999,523.081081081081,24.288817567567566,Night,109,1.0446640191195877
106,880,28.66672,77.2336,507.2573770491803,24.435377049180328,Night,116,1.1130158892613156
118,879,28.66952,77.2116,511.14642262895177,25.703477537437607,Afternoon,224,1.0236531512156886
16,879,28.66696,77.20728000000001,492.27363184079604,24.85540630182421,Morning,263,1.0517563290936753
125,878,28.60496,77.24784000000001,533.6544240400668,25.300100166944908,Afternoon,230,1.052269553272839
84,877,28.66304,77.23896,494.92808219178085,25.16373287671233,Evening,322,1.0546354207232191
144,876,28.474720000000005,76.99888,521.4440734557596,24.046627712854757,Night,114,1.0988205992235
99,874,28.53536,77.22160000000001,525.6320272572402,25.347904599659284,Afternoon,237,1.089257597564083
160,873,28.60392,77.23631999999999,490.78677685950413,23.642446280991734,Evening,324,1.0660482007771492
151,873,28.49216,77.23768000000001,498.69293924466336,23.810197044334974,Morning,252,1.0146927510349866
109,872,28.67064,77.1588,505.7692307692308,25.418374125874124,Afternoon,227,1.0456902452363206
43,870,28.524800000000003,77.19976,502.11785095320624,25.083951473136917,Night,113,1.09669342081
51,869,28.62216,77.1968,538.4207920792079,23.877937293729374,Night,111,1.0785225989350158
6,869,28.6608,77.42192,489.2637931034483,24.895672413793104,Evening,319,1.0544281254522225
20,868,28.65504,77.25864,523.7913043478261,24.43495652173913,Evening,328,1.0854259330493399
141,868,28.420560000000002,77.00056000000001,519.278863232682,24.491758436944938,Evening,318,1.0523336789929578
7,868,28.65296,77.32544,536.4542429284526,24.705657237936773,Morning,261,1.0569855323384116
96,868,28.6104,77.18496,515.5826377295492,25.286060100166946,Afternoon,235,1.087531441228135
56,867,28.6748,77.15776,477.63573883161513,25.334536082474227,Afternoon,235,1.088785802752043
21,866,28.54072,77.34631999999999,562.4310645724258,24.797888307155322,Morning,256,1.0391310785920813
149,866,28.724,77.2276,502.0085616438356,24.04345890410959,Afternoon,231,1.0714891367390835
123,865,28.593360000000004,77.23328,538.6595744680851,24.839166666666667,Morning,253,1.0281409910466395
31,864,28.48896,77.04368000000001,522.1357388316151,24.7336941580756,Morning,273,1.1107010061242344
26,864,28.45568,77.02879999999999,504.62033898305083,22.93876271186441,Night,117,1.1433999437095412
92,863,28.52736,77.3716,536.9391891891892,25.409560810810813,Morning,254,1.034596921039563
35,863,28.486960000000003,76.99616,511.2024013722127,24.644871355060037,Afternoon,233,1.0845231074171884
103,862,28.4192,76.99671999999998,528.7642140468228,25.15103678929766,Afternoon,222,1.0345211956306297
85,862,28.64,77.22944,533.1624790619766,23.58996649916248,Afternoon,226,1.053161217173524
58,862,28.506719999999998,77.16896,503.2,24.698,Morning,254,1.0357971494862446
156,861,28.66192,77.25496000000001,528.331136738056,23.804563426688635,Night,104,1.0198968139011937
47,861,28.45552,77.04392,502.343853820598,24.25705980066445,Night,111,1.0885437148368509
150,861,28.60016,77.24880000000002,512.4271685761047,24.358592471358428,Morning,261,1.065578910650106
