feature,importance
zone_slot_expanding_avg,3.823028075662386
n_locations,1.5876401006915613
zone_expanding_avg,1.2708411065588034
zone_slot_roll7,0.4969551746465848
zone_id,0.25007431709113154
prev_slot_demand,0.23080028476434353
heat_index,0.21824698154499833
temp,0.1648907568005612
prev_week_demand,0.1381634876370114
slot,0.12027602004332398
hour_start,0.12027602004332398
zone_lon,0.11369859123689564
humidity,0.10119556763338178
temp_range,0.06797972874393128
week_of_year,0.06251270186194595
prev_day_demand,0.05883741007346468
is_weekend,0.03689493979708034
weekday_encoded,0.03178415540423559
day,0.02138942567392201
month,0.01528761900663647
precip,0.013114461535704836
precipprob,0.011641137952924421
weather_indicator,0.011641137952923639
windspeed,0.01134090539942996
is_holiday,0.010305719486055137
zone_lat,0.007732328694330451
