Date,zone_id,slot,ride_count,prev_slot_demand,prev_day_demand,prev_week_demand,zone_slot_expanding_avg,zone_slot_roll7,zone_expanding_avg,date,weekday,weekday_encoded,month,day,week_of_year,is_weekend,hour_start,slot_label,slot_name,is_holiday,holiday_name,weather_indicator,temp,humidity,precip,precipprob,windspeed,heat_index,temp_range,zone_lat,zone_lon,zone_name,n_locations,demand_ratio,Demand_Category
2024-01-01,0,0,3,0,0,0,0.0,0.0,0.0,2024-01-01,Monday,0,1,1,1,0,0,00:00-04:00,Night (00:00-04:00),0,None,0,12.1,81.7,0.0,0.0,11.2,303.6701381,5.8,28.625136744186047,77.25694511627907,Zone 0 - Indraprastha,43,1.0,Medium
2024-01-01,0,1,2,3,0,0,0.0,0.0,3.0,2024-01-01,Monday,0,1,1,1,0,4,04:00-08:00,Night (04:00-08:00),0,None,0,12.1,81.7,0.0,0.0,11.2,303.6701381,5.8,28.625136744186047,77.25694511627907,Zone 0 - Indraprastha,43,1.0,Medium
2024-01-01,0,2,21,2,0,0,0.0,0.0,2.5,2024-01-01,Monday,0,1,1,1,0,8,08:00-12:00,Morning (08:00-12:00),0,None,0,12.1,81.7,0.0,0.0,11.2,303.6701381,5.8,28.625136744186047,77.25694511627907,Zone 0 - Indraprastha,43,1.0,High
2024-01-01,0,3,18,21,0,0,0.0,0.0,8.666666666666666,2024-01-01,Monday,0,1,1,1,0,12,12:00-16:00,Afternoon (12:00-16:00),0,None,0,12.1,81.7,0.0,0.0,11.2,303.6701381,5.8,28.625136744186047,77.25694511627907,Zone 0 - Indraprastha,43,1.0,High
2024-01-01,0,4,40,18,0,0,0.0,0.0,11.0,2024-01-01,Monday,0,1,1,1,0,16,16:00-20:00,Evening Peak (16:00-20:00),0,None,0,12.1,81.7,0.0,0.0,11.2,303.6701381,5.8,28.625136744186047,77.25694511627907,Zone 0 - Indraprastha,43,1.0,High
2024-01-01,0,5,15,40,0,0,0.0,0.0,16.8,2024-01-01,Monday,0,1,1,1,0,20,20:00-24:00,Late Evening (20:00-24:00),0,None,0,12.1,81.7,0.0,0.0,11.2,303.6701381,5.8,28.625136744186047,77.25694511627907,Zone 0 - Indraprastha,43,1.0,High
2024-01-01,1,0,2,0,0,0,0.0,0.0,0.0,2024-01-01,Monday,0,1,1,1,0,0,00:00-04:00,Night (00:00-04:00),0,None,0,12.1,81.7,0.0,0.0,11.2,303.6701381,5.8,28.45272,77.02158,Zone 1 - Cyber Hub,12,1.0,Medium
2024-01-01,1,1,2,2,0,0,0.0,0.0,2.0,2024-01-01,Monday,0,1,1,1,0,4,04:00-08:00,Night (04:00-08:00),0,None,0,12.1,81.7,0.0,0.0,11.2,303.6701381,5.8,28.45272,77.02158,Zone 1 - Cyber Hub,12,1.0,Medium
2024-01-01,1,2,7,2,0,0,0.0,0.0,2.0,2024-01-01,Monday,0,1,1,1,0,8,08:00-12:00,Morning (08:00-12:00),0,None,0,12.1,81.7,0.0,0.0,11.2,303.6701381,5.8,28.45272,77.02158,Zone 1 - Cyber Hub,12,1.0,High
2024-01-01,1,3,7,7,0,0,0.0,0.0,3.6666666666666665,2024-01-01,Monday,0,1,1,1,0,12,12:00-16:00,Afternoon (12:00-16:00),0,None,0,12.1,81.7,0.0,0.0,11.2,303.6701381,5.8,28.45272,77.02158,Zone 1 - Cyber Hub,12,1.0,High
